pokemon_id,language_id,name
1,1,フシギダネ
2,1,フシギソウ
3,1,フシギバナ
4,1,ヒトカゲ
5,1,リザード
6,1,リザードン
7,1,ゼニガメ
8,1,カメール
9,1,カメックス
10,1,キャタピー
11,1,トランセル
12,1,バタフリー
13,1,ビードル
14,1,コクーン
15,1,スピアー
16,1,ポッポ
17,1,ピジョン
18,1,ピジョット
19,1,コラッタ
20,1,ラッタ
21,1,オニスズメ
22,1,オニドリル
23,1,アーボ
24,1,アーボック
25,1,ピカチュウ
26,1,ライチュウ
27,1,サンド
28,1,サンドパン
29,1,ニドラン♀
30,1,ニドリーナ
31,1,ニドクイン
32,1,ニドラン♂
33,1,ニドリーノ
34,1,ニドキング
35,1,ピッピ
36,1,ピクシー
37,1,ロコン
38,1,キュウコン
39,1,プリン
40,1,プクリン
41,1,ズバット
42,1,ゴルバット
43,1,ナゾノクサ
44,1,クサイハナ
45,1,ラフレシア
46,1,パラス
47,1,パラセクト
48,1,コンパン
49,1,モルフォン
50,1,ディグダ
51,1,ダグトリオ
52,1,ニャース
53,1,ペルシアン
54,1,コダック
55,1,ゴルダック
56,1,マンキー
57,1,オコリザル
58,1,ガーディ
59,1,ウインディ
60,1,ニョロモ
61,1,ニョロゾ
62,1,ニョロボン
63,1,ケーシィ
64,1,ユンゲラー
65,1,フーディン
66,1,ワンリキー
67,1,ゴーリキー
68,1,カイリキー
69,1,マダツボミ
70,1,ウツドン
71,1,ウツボット
72,1,メノクラゲ
73,1,ドククラゲ
74,1,イシツブテ
75,1,ゴローン
76,1,ゴローニャ
77,1,ポニータ
78,1,ギャロップ
79,1,ヤドン
80,1,ヤドラン
81,1,コイル
82,1,レアコイル
83,1,カモネギ
84,1,ドードー
85,1,ドードリオ
86,1,パウワウ
87,1,ジュゴン
88,1,ベトベター
89,1,ベトベトン
90,1,シェルダー
91,1,パルシェン
92,1,ゴース
93,1,ゴースト
94,1,ゲンガー
95,1,イワーク
96,1,スリープ
97,1,スリーパー
98,1,クラブ
99,1,キングラー
100,1,ビリリダマ
101,1,マルマイン
102,1,タマタマ
103,1,ナッシー
104,1,カラカラ
105,1,ガラガラ
106,1,サワムラー
107,1,エビワラー
108,1,ベロリンガ
109,1,ドガース
110,1,マタドガス
111,1,サイホーン
112,1,サイドン
113,1,ラッキー
114,1,モンジャラ
115,1,ガルーラ
116,1,タッツー
117,1,シードラ
118,1,トサキント
119,1,アズマオウ
120,1,ヒトデマン
121,1,スターミー
122,1,バリヤード
