id,pokemon_id,method_id
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,2
8,1,2
9,1,2
10,1,2
11,1,2
12,1,2
13,1,2
14,1,3
15,1,3
16,1,3
17,1,3
18,1,3
19,1,3
20,1,3
21,1,3
22,1,3
23,1,4
24,1,4
25,1,4
26,1,4
27,1,4
28,1,4
29,2,1
30,2,1
31,2,1
32,2,1
33,2,1
34,2,1
35,2,3
36,2,3
37,2,3
38,2,3
39,2,3
40,2,3
41,2,3
42,2,3
43,2,3
44,2,4
45,2,4
46,2,4
47,2,4
48,2,4
49,2,4
50,3,1
51,3,1
52,3,1
53,3,1
54,3,1
55,3,1
56,3,3
57,3,3
58,3,3
59,3,3
60,3,3
61,3,3
62,3,3
63,3,3
64,3,3
65,3,3
66,3,4
67,3,4
68,3,4
69,3,4
70,3,4
71,3,4
72,4,1
73,4,1
74,4,1
75,4,1
76,4,1
77,4,1
78,4,1
79,4,1
80,4,2
81,4,2
82,4,2
83,4,2
84,4,2
85,4,2
86,4,3
87,4,3
88,4,3
89,4,3
90,4,3
91,4,3
92,4,3
93,4,3
94,4,3
95,4,3
96,4,4
97,4,4
98,4,4
99,4,4
100,4,4
101,4,4
102,5,1
103,5,1
104,5,1
105,5,1
106,5,1
107,5,1
108,5,1
109,5,1
110,5,3
111,5,3
112,5,3
113,5,3
114,5,3
115,5,3
116,5,3
117,5,3
118,5,3
119,5,3
120,5,4
121,5,4
122,5,4
123,5,4
124,5,4
125,5,4
126,6,1
127,6,1
128,6,1
129,6,1
130,6,1
131,6,1
132,6,1
133,6,1
134,6,3
135,6,3
136,6,3
137,6,3
138,6,3
139,6,3
140,6,3
141,6,3
142,6,3
143,6,3
144,6,3
145,6,4
146,6,4
147,6,4
148,6,4
149,6,4
150,6,4
151,6,4
152,6,4
153,7,1
154,7,1
155,7,1
156,7,1
157,7,1
158,7,1
159,7,1
160,7,1
161,7,2
162,7,2
163,7,2
164,7,2
165,7,2
166,7,2
167,7,3
168,7,3
169,7,3
170,7,3
171,7,3
172,7,3
173,7,3
174,7,3
175,7,3
176,7,3
177,7,4
178,7,4
179,7,4
180,7,4
181,7,4
182,7,4
183,7,4
184,7,4
185,7,4
186,8,1
187,8,1
188,8,1
189,8,1
190,8,1
191,8,1
192,8,1
193,8,1
194,8,3
195,8,3
196,8,3
197,8,3
198,8,3
199,8,3
200,8,3
201,8,3
202,8,3
203,8,3
204,8,4
205,8,4
206,8,4
207,8,4
208,8,4
209,8,4
210,8,4
211,8,4
212,8,4
213,9,1
214,9,1
215,9,1
216,9,1
217,9,1
218,9,1
219,9,1
220,9,1
221,9,3
222,9,3
223,9,3
224,9,3
225,9,3
226,9,3
227,9,3
228,9,3
229,9,3
230,9,3
231,9,3
232,9,4
233,9,4
234,9,4
235,9,4
236,9,4
237,9,4
238,9,4
239,9,4
240,9,4
241,10,1
242,10,1
243,10,1
244,10,1
245,10,1
246,10,1
247,10,1
248,10,3
249,10,3
250,10,3
251,11,1
252,11,1
253,11,1
254,11,1
255,11,1
256,11,1
257,11,1
258,11,3
259,11,3
260,11,3
261,12,1
262,12,1
263,12,1
264,12,1
265,12,1
266,12,1
267,12,1
268,12,1
269,12,3
270,12,3
271,12,3
272,12,3
273,12,3
274,12,3
275,12,4
276,12,4
277,12,4
278,12,4
279,12,4
280,12,4
281,12,4
282,12,4
283,13,1
284,13,1
285,13,1
286,13,1
287,13,1
288,13,1
289,13,1
290,13,3
291,13,3
292,14,1
293,14,1
294,14,1
295,14,1
296,14,1
297,14,1
298,14,3
299,14,3
300,14,3
301,15,1
302,15,1
303,15,1
304,15,1
305,15,1
306,15,1
307,15,3
308,15,3
309,15,3
310,15,3
311,15,3
312,15,3
313,15,3
314,15,4
315,15,4
316,15,4
317,15,4
318,15,4
319,15,4
320,15,4
321,16,1
322,16,1
323,16,1
324,16,1
325,16,1
326,16,1
327,16,2
328,16,2
329,16,2
330,16,2
331,16,2
332,16,2
333,16,3
334,16,3
335,16,3
336,16,3
337,16,3
338,16,3
339,16,4
340,16,4
341,16,4
342,16,4
