id,pokemon_id,introduced_in_version_group_id,name,is_default
1,201,3,a,0
2,201,3,b,0
3,201,3,c,0
4,201,3,d,0
5,201,3,e,0
6,201,3,f,0
7,201,3,g,0
8,201,3,h,0
9,201,3,i,0
10,201,3,j,1
11,201,3,k,0
12,201,3,l,0
13,201,3,m,0
14,201,3,n,0
15,201,3,o,0
16,201,3,p,0
17,201,3,q,0
18,201,3,r,0
19,201,3,s,0
20,201,3,t,0
21,201,3,u,0
22,201,3,v,0
23,201,3,w,0
24,201,3,x,0
25,201,3,y,0
26,201,3,z,0
27,201,5,?,0
28,201,5,!,0
29,351,5,,1
30,351,5,sunny,0
31,351,5,rain,0
32,351,5,snow-cloud,0
33,386,5,normal,1
34,386,7,attack,0
35,386,7,defense,0
36,386,6,speed,0
37,412,8,plant,1
38,412,8,sandy,0
39,412,8,trash,0
40,413,8,plant,1
41,413,8,sandy,0
42,413,8,trash,0
43,421,8,overcast,1
44,421,8,sunshine,0
45,422,8,east,0
46,422,8,west,1
47,423,8,east,0
48,423,8,west,1
49,479,8,normal,1
50,479,9,fan,0
51,479,9,frost,0
52,479,9,heat,0
53,479,9,mow,0
54,479,9,wash,0
55,487,8,altered,1
56,487,9,origin,0
57,492,8,land,1
58,492,9,sky,0
59,493,8,bug,0
60,493,8,dark,0
61,493,8,dragon,0
62,493,8,electric,0
63,493,8,fighting,0
64,493,8,fire,0
65,493,8,flying,0
66,493,8,ghost,0
67,493,8,grass,0
68,493,8,ground,0
69,493,8,ice,0
70,493,8,normal,1
71,493,8,???,0
72,493,8,poison,0
73,493,8,psychic,0
74,493,8,rock,0
75,493,8,steel,0
76,493,8,water,0
77,172,3,,1
78,172,10,spiky-eared,0
79,550,11,normal,1
80,550,11,alternate,0
81,555,11,unblue,1
82,555,11,blue,0
83,585,11,spring,1
84,585,11,summer,0
85,585,11,fall,0
86,585,11,winter,0
87,586,11,spring,1
88,586,11,summer,0
89,586,11,fall,0
90,586,11,winter,0
91,648,11,unred,1
92,648,11,red,0
93,649,11,yellow,1
94,649,11,blue,0
95,649,11,green,0
96,649,11,red,0
97,649,11,white,0
