moveset_id,move_id,level,order
1,22,13,
1,33,1,1
1,45,1,2
1,73,7,
1,74,34,
1,75,27,
1,76,48,
1,77,20,
1,79,41,
2,22,10,
2,33,1,
2,45,4,
2,73,7,
2,74,32,
2,75,20,
2,76,46,
2,77,15,1
2,79,15,2
2,230,25,
2,235,39,
3,22,10,
3,33,1,
3,45,4,
3,73,7,
3,74,32,
3,75,20,
3,76,46,
3,77,15,1
3,79,15,2
3,230,25,
3,235,39,
4,22,9,
4,33,1,
4,36,15,
4,38,27,
4,45,3,
4,73,7,
4,74,25,
4,75,19,
4,77,13,1
4,79,13,2
4,230,21,
4,235,33,
4,388,31,
4,402,37,
5,22,9,
5,33,1,
5,36,15,
5,38,27,
5,45,3,
5,73,7,
5,74,25,
5,75,19,
5,77,13,1
5,79,13,2
5,230,21,
5,235,33,
5,388,31,
5,402,37,
6,22,9,
6,33,1,
6,36,15,
6,38,27,
6,45,3,
6,73,7,
6,74,25,
6,75,19,
6,77,13,1
6,79,13,2
6,230,21,
6,235,33,
6,388,31,
6,402,37,
7,13,0,
7,80,0,
7,113,0,
7,130,0,
7,219,0,
8,204,0,
9,80,0,
9,113,0,
9,130,0,
9,174,0,
9,204,0,
9,219,0,
9,320,0,
9,345,0,
10,80,0,
10,113,0,
10,130,0,
10,133,0,
10,174,0,
10,204,0,
10,219,0,
10,267,0,
10,275,0,
10,320,0,
10,345,0,
10,437,0,
11,124,0,
11,438,0,
12,80,0,
12,124,0,
12,130,0,
12,133,0,
12,174,0,
12,202,0,
12,203,0,
12,204,0,
12,267,0,
12,275,0,
12,320,0,
12,345,0,
12,437,0,
12,438,0,
13,80,0,
13,124,0,
13,130,0,
13,133,0,
13,174,0,
13,202,0,
13,203,0,
13,204,0,
13,267,0,
13,275,0,
13,320,0,
13,345,0,
13,437,0,
13,438,0,
13,580,0,
14,34,0,
14,38,0,
14,102,0,
14,164,0,
15,14,0,
15,111,0,
15,173,0,
15,189,0,
15,203,0,
15,207,0,
15,210,0,
15,214,0,
16,207,0,
17,14,0,
18,173,0,
18,189,0,
18,210,0,
18,235,0,
18,282,0,
18,402,0,
19,29,0,
19,81,0,
19,388,0,
20,520,0,
21,20,0,
21,173,0,
21,202,0,
21,214,0,
21,235,0,
21,282,0,
21,388,0,
21,402,0,
22,520,0,
23,14,0,
23,15,0,
23,34,0,
23,36,0,
23,38,0,
23,72,0,
23,76,0,
23,92,0,
23,99,0,
23,102,0,
23,104,0,
23,115,0,
23,117,0,
23,156,0,
23,164,0,
24,15,0,
24,29,0,
24,76,0,
24,92,0,
24,104,0,
24,111,0,
24,148,0,
24,156,0,
24,173,0,
24,174,0,
24,182,0,
24,189,0,
24,202,0,
24,203,0,
24,207,0,
24,210,0,
24,213,0,
24,214,0,
24,216,0,
24,218,0,
24,230,0,
24,237,0,
24,241,0,
25,15,0,
25,70,0,
25,76,0,
25,92,0,
25,104,0,
25,148,0,
25,156,0,
25,182,0,
25,188,0,
25,202,0,
25,213,0,
25,216,0,
25,218,0,
25,237,0,
25,241,0,
25,249,0,
25,263,0,
25,290,0,
25,331,0,
26,14,0,
26,164,0,
26,203,0,
26,207,0,
26,214,0,
26,363,0,
26,412,0,
26,445,0,
26,447,0,
27,14,0,
27,15,0,
27,70,0,
27,76,0,
27,92,0,
27,104,0,
27,113,0,
27,148,0,
27,156,0,
27,164,0,
27,182,0,
27,188,0,
27,207,0,
27,213,0,
27,216,0,
27,218,0,
27,219,0,
27,237,0,
27,241,0,
27,249,0,
27,263,0,
27,412,0,
27,447,0,
27,474,0,
27,496,0,
27,497,0,
28,214,0,
28,267,0,
28,590,0,
29,22,13,
29,33,1,1
29,45,1,2
29,73,1,3
29,73,7,
29,74,38,
29,75,30,
29,76,54,
29,77,22,
29,79,46,
30,22,10,
30,33,1,1
30,45,1,2
30,45,4,
30,73,1,3
30,73,7,
30,74,38,
30,75,22,
30,76,56,
30,77,15,
30,79,15,4
30,230,29,
30,235,47,
31,22,10,
31,33,1,1
31,45,1,2
31,45,4,
31,73,1,3
31,73,7,
