id,type_id,event_pokemon_id,location_area_id,roam_region_id,cost,traded_species_id,traded_gender_id
1,1,1,554,,,,
2,1,2,554,,,,
3,1,3,554,,,,
4,1,4,554,,,,
5,2,5,281,,,,
6,2,6,552,,,,
7,2,7,557,,,,
8,2,8,576,,,,
9,2,9,576,,,,
10,2,10,576,,,,
11,2,11,283,,,,
12,3,12,279,,,,
13,3,13,279,,,,
14,3,14,279,,,,
15,4,15,276,,,,
16,4,16,309,,,,
17,4,17,577,,,,
18,4,18,330,,,,
19,4,19,318,,,,
20,4,20,325,,,,
21,5,21,298,,,,
22,6,22,557,,,,
23,6,23,311,,,,
24,6,24,530,,,,
25,6,25,530,,,,
26,6,26,281,,,,
27,6,27,299,,,,
28,6,28,305,,,,
29,6,29,311,,,,
30,6,30,305,,,,
31,6,31,299,,,,
32,6,32,279,,,,
33,6,33,279,,,,
34,6,34,279,,,,
35,6,35,279,,,,
36,6,36,279,,,,
37,6,37,279,,,,
38,7,38,283,,,,
39,7,39,283,,,,
40,7,40,283,,,,
41,7,41,283,,,,
42,7,42,283,,,,
43,7,43,283,,,,
44,7,44,283,,,,
45,7,45,283,,,,
46,7,46,283,,,,
47,7,47,283,,,,
48,7,48,283,,,,
49,7,49,283,,,,
50,7,50,283,,,,
51,7,51,283,,,,
52,7,52,283,,,,
53,7,53,283,,,,
54,7,54,283,,,,
55,7,55,283,,,,
